investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,,,,BLACKBURN AG STRIP,Non-Fatal,Substantial,Airplane,N2482N,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,01-01-1982
Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,,,N58,HANOVER,Non-Fatal,Substantial,Airplane,N7967Q,Cessna,401B,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause,01-01-1982
Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,,,,,Non-Fatal,Destroyed,Airplane,N14779,Bellanca,17-30A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,02-01-1983
Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,,,T72,HEARNE MUNICIPAL,Fatal(1),Destroyed,Airplane,N758SK,Cessna,R172K,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,02-01-1983
Accident,FTW82FPJ10,1982-01-02,"CHICKASHA, OK",United States,,,,,Fatal(1),Destroyed,Airplane,N4876K,Navion,A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,02-01-1983
Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,,,,,Fatal(2),Destroyed,Airplane,N9779L,Beech,19,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,02-01-1983
Accident,DEN82DTM08,1982-01-02,"MIDWAY, UT",United States,,,,FIELD RANCH,Non-Fatal,Destroyed,Helicopter,N51735,Enstrom,280C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,IMC,Taxi,Probable Cause,02-01-1983
Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,,,,,Fatal(3),Destroyed,Airplane,N7641A,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,02-01-1983
Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,,,5G6,CHERRY SPRINGS,Non-Fatal,Substantial,Airplane,N25084,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,02-01-1983
Accident,MIA82DA028,1982-01-02,"MIAMI, FL",United States,,,,,Non-Fatal,Substantial,Helicopter,N23BS,Smith,WCS-222 (BELL 47G),No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,02-01-1983
Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,,,YIP,WILLOW RUN,Non-Fatal,Substantial,Airplane,N68812,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,02-01-1983
Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,,,49G,TINKERBELL,Non-Fatal,Substantial,Airplane,N1549Q,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,02-01-1983
Accident,ATL82DA027,1982-01-02,"CHAMBLEE, GA",United States,,,PDK,,Non-Fatal,Substantial,Helicopter,N5745Y,Bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Rocky Mountain Helicopters, In",0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,02-01-1983
Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Incident,Minor,Airplane,N5018P,Piper,PA-24-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,03-01-1983
Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,,,,,Fatal(2),Destroyed,Airplane,N28912,Grumman,AA-5B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,1.0,0.0,0.0,IMC,Descent,Probable Cause,03-01-1983
Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,,,,HANOVER COUNTY,Fatal(8),Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,,,SOP,MOORE COUNTY,Fatal(1),Destroyed,Airplane,N10VS,Beechcraft,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,,,HPN,WESTCHESTER COUNTY,Non-Fatal,Substantial,Airplane,N7125D,Maule,M-5-235C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,03-01-1983
